Resale Price (RM),Brand Make,Model,Year of Manufacturer,Mileage (KM),Condition,Petrol Type,Transmission Type
30893,Nissan,Navara,2018,183057,Fair,Petrol,Manual
210599,Lexus,RX,2021,89000,Good,Petrol,Automatic
189854,Lexus,RX,2021,103108,Fair,Petrol,Automatic
143744,Honda,CR-V,2024,25961,Excellent,Petrol,Automatic
60998,Lexus,IS,2016,114021,Fair,Hybrid,Automatic
50762,Toyota,Yaris,2021,86192,Very Good,Petrol,Automatic
70010,Honda,City,2023,40552,Very Good,Petrol,CVT
86316,Mazda,Mazda3,2022,80727,Good,Petrol,Automatic
36090,Toyota,Vios,2018,107338,Good,Petrol,Automatic
182823,Toyota,Fortuner,2024,19535,Excellent,Petrol,Manual
26559,Toyota,Corolla,2015,150660,Fair,Petrol,CVT
70215,Nissan,Serena,2020,85900,Very Good,Petrol,Automatic
60401,Toyota,Corolla,2020,90470,Good,Petrol,CVT
73181,Honda,City,2023,47194,Very Good,Petrol,CVT
41792,Mazda,Mazda3,2017,201136,Good,Petrol,Automatic
45567,Toyota,Vios,2020,110265,Good,Petrol,Automatic
67876,Mazda,Mazda3,2020,87880,Good,Petrol,Automatic
234056,Lexus,NX,2022,56631,Very Good,Hybrid,Automatic
97858,Mazda,Mazda6,2021,78616,Good,Petrol,Automatic
19749,Nissan,Almera,2017,220200,Fair,Petrol,Automatic
76813,Honda,Jazz,2024,20993,Excellent,Petrol,Automatic
82708,Toyota,Yaris,2024,18363,Excellent,Petrol,Automatic
80738,Toyota,Yaris,2024,20223,Excellent,Petrol,Automatic
132461,Lexus,NX,2019,80040,Fair,Petrol,Automatic
243452,Lexus,ES,2023,39206,Excellent,Petrol,Automatic
16804,Honda,Jazz,2015,171640,Fair,Petrol,Automatic
78950,Nissan,Navara,2023,40700,Good,Petrol,Automatic
107811,Nissan,Serena,2023,54438,Very Good,Petrol,Automatic
42705,Toyota,Vios,2020,103680,Good,Petrol,Automatic
91655,Mazda,CX-5,2021,77916,Good,Petrol,Automatic
33994,Honda,BR-V,2018,159964,Good,Petrol,Automatic
168730,Mazda,Mazda6,2024,27260,Excellent,Petrol,Automatic
64743,Toyota,Vios,2022,63228,Very Good,Petrol,CVT
43270,Mazda,Mazda2,2020,125395,Good,Petrol,Automatic
109550,Honda,CR-V,2022,63351,Very Good,Petrol,Automatic
58407,Mazda,Mazda3,2019,107346,Good,Petrol,Automatic
18096,Toyota,Hilux,2015,223230,Poor,Petrol,Manual
90992,Lexus,IS,2019,114594,Fair,Petrol,Automatic
37192,Honda,HR-V,2018,103803,Fair,Petrol,Automatic
132964,Lexus,IS,2020,73075,Very Good,Hybrid,Automatic
47404,Honda,Civic,2019,77730,Fair,Petrol,Automatic
78396,Honda,BR-V,2023,37502,Excellent,Petrol,Automatic
101371,Nissan,X-Trail,2022,46119,Very Good,Petrol,Automatic
43555,Toyota,Yaris,2020,92980,Very Good,Petrol,Automatic
20614,Toyota,Hilux,2016,218070,Poor,Petrol,Automatic
127232,Lexus,ES,2019,126570,Good,Hybrid,Automatic
95280,Lexus,RX,2017,184832,Fair,Hybrid,Automatic
65064,Toyota,Camry,2019,158076,Fair,Petrol,Automatic
69360,Toyota,Hilux,2021,59156,Very Good,Petrol,Manual
71399,Mazda,Mazda6,2019,123468,Good,Petrol,Automatic
77925,Mazda,Mazda2,2023,33888,Excellent,Petrol,Automatic
105283,Nissan,Navara,2024,27340,Excellent,Diesel,Manual
86294,Nissan,X-Trail,2021,77928,Very Good,Petrol,Automatic
60366,Mazda,CX-5,2019,74850,Fair,Petrol,Automatic
61454,Nissan,Almera,2023,51142,Very Good,Petrol,CVT
40097,Nissan,X-Trail,2017,124248,Fair,Petrol,Automatic
68247,Toyota,Fortuner,2018,136969,Good,Diesel,Manual
91675,Lexus,ES,2018,91511,Fair,Petrol,Automatic
45452,Toyota,Corolla,2019,73434,Fair,Petrol,CVT
154571,Honda,CR-V,2024,21393,Excellent,Petrol,Automatic
59522,Mazda,Mazda3,2019,154722,Good,Petrol,Automatic
66078,Honda,BR-V,2022,43716,Very Good,Petrol,Automatic
40728,Honda,CR-V,2017,147776,Fair,Petrol,Automatic
76447,Toyota,Vios,2023,42036,Very Good,Petrol,Automatic
128642,Lexus,NX,2019,103068,Fair,Petrol,Automatic
115470,Nissan,Serena,2023,31196,Excellent,Petrol,Automatic
106167,Mazda,CX-5,2022,43902,Very Good,Petrol,Automatic
81262,Mazda,Mazda2,2023,25590,Excellent,Petrol,Automatic
105352,Honda,Civic,2023,42588,Very Good,Petrol,CVT
82018,Nissan,Serena,2021,55836,Good,Petrol,Automatic
81192,Lexus,IS,2019,150024,Fair,Petrol,Automatic
70045,Mazda,Mazda6,2019,152802,Good,Petrol,Automatic
77938,Toyota,Camry,2020,125115,Fair,Petrol,Automatic
262226,Lexus,NX,2023,42220,Very Good,Hybrid,Automatic
130147,Honda,CR-V,2023,34242,Excellent,Petrol,Automatic
84092,Nissan,Navara,2023,46450,Very Good,Diesel,Automatic
21823,Nissan,Serena,2015,223500,Poor,Petrol,Automatic
98618,Lexus,NX,2017,199872,Good,Hybrid,Automatic
54392,Nissan,Almera,2022,62751,Very Good,Petrol,Automatic
59544,Toyota,Hilux,2020,86195,Good,Diesel,Manual
224472,Lexus,ES,2023,44498,Very Good,Hybrid,Automatic
70943,Honda,BR-V,2023,47046,Very Good,Petrol,Automatic
95850,Mazda,CX-5,2021,60036,Very Good,Petrol,Automatic
85246,Honda,Civic,2022,60984,Very Good,Petrol,Automatic
197720,Lexus,IS,2023,40890,Very Good,Petrol,Automatic
135881,Nissan,X-Trail,2024,19489,Excellent,Petrol,Automatic
49751,Lexus,ES,2015,126070,Poor,Hybrid,Automatic
65108,Toyota,Fortuner,2018,135457,Good,Diesel,Manual
90387,Mazda,Mazda2,2024,12532,Excellent,Petrol,Automatic
111317,Nissan,Serena,2023,27358,Excellent,Petrol,Automatic
38352,Nissan,Navara,2018,126070,Good,Petrol,Manual
49519,Toyota,Hilux,2019,126114,Good,Petrol,Manual
43457,Toyota,Yaris,2020,62935,Good,Petrol,Automatic
123966,Toyota,Camry,2022,46926,Good,Hybrid,Automatic
45740,Nissan,Navara,2020,116120,Fair,Diesel,Automatic
60775,Mazda,Mazda6,2019,129612,Fair,Petrol,Automatic
146049,Honda,Accord,2023,38678,Excellent,Hybrid,Automatic
88445,Lexus,ES,2018,137725,Fair,Petrol,Automatic
88471,Nissan,Serena,2022,45888,Good,Petrol,Automatic
111534,Toyota,Hilux,2024,23606,Excellent,Petrol,Manual
28445,Nissan,X-Trail,2016,139869,Poor,Petrol,Automatic
95382,Honda,HR-V,2023,33610,Excellent,Petrol,Automatic
11059,Honda,Jazz,2014,233222,Poor,Petrol,Automatic
48811,Honda,Civic,2018,86772,Good,Petrol,Automatic
228129,Lexus,RX,2021,96772,Very Good,Hybrid,Automatic
39851,Mazda,Mazda3,2017,113920,Fair,Petrol,Automatic
82270,Toyota,Yaris,2024,17180,Excellent,Petrol,Automatic
80131,Mazda,Mazda3,2021,86828,Good,Petrol,Automatic
105327,Mazda,Mazda6,2021,89312,Very Good,Petrol,Automatic
122017,Lexus,NX,2018,116193,Good,Hybrid,Automatic
39336,Toyota,Yaris,2019,79152,Good,Petrol,Automatic
93021,Honda,HR-V,2023,38616,Excellent,Petrol,Automatic
90924,Honda,CR-V,2021,92044,Good,Petrol,Automatic
20943,Honda,City,2016,157086,Fair,Petrol,Automatic
191094,Lexus,IS,2023,43582,Very Good,Petrol,Automatic
221768,Lexus,ES,2023,53858,Good,Hybrid,Automatic
286433,Lexus,NX,2023,32144,Excellent,Petrol,Automatic
106875,Nissan,X-Trail,2023,41528,Good,Petrol,Automatic
333588,Lexus,NX,2024,15724,Excellent,Hybrid,Automatic
150208,Mazda,Mazda6,2023,39690,Excellent,Petrol,Automatic
33271,Toyota,Vios,2019,79980,Fair,Petrol,CVT
61319,Mazda,Mazda6,2019,137406,Fair,Petrol,Automatic
55289,Mazda,CX-5,2019,108234,Fair,Petrol,Automatic
38079,Nissan,Almera,2020,133360,Good,Petrol,CVT
111472,Honda,Civic,2023,32038,Excellent,Petrol,Automatic
124259,Lexus,NX,2018,90930,Good,Petrol,Automatic
31840,Toyota,Hilux,2017,148864,Fair,Diesel,Automatic
32183,Nissan,Almera,2020,122820,Fair,Petrol,CVT
152069,Lexus,NX,2019,103458,Good,Petrol,Automatic
36537,Nissan,Serena,2017,131280,Fair,Petrol,Automatic
74859,Toyota,Vios,2023,48104,Very Good,Petrol,CVT
63171,Mazda,Mazda2,2022,69351,Good,Petrol,Automatic
76068,Honda,CR-V,2021,105252,Fair,Petrol,Automatic
276420,Lexus,ES,2024,27657,Excellent,Petrol,Automatic
52657,Toyota,Fortuner,2018,163114,Fair,Diesel,Automatic
88432,Lexus,ES,2018,165249,Fair,Petrol,Automatic
29685,Honda,BR-V,2018,112931,Fair,Petrol,Automatic
72094,Nissan,X-Trail,2020,82160,Good,Petrol,Automatic
134199,Mazda,CX-5,2023,25102,Excellent,Petrol,Automatic
115139,Mazda,Mazda3,2023,25448,Excellent,Petrol,Automatic
17239,Mazda,Mazda2,2015,244220,Fair,Petrol,Automatic
65921,Mazda,CX-5,2019,139302,Good,Petrol,Automatic
78266,Honda,HR-V,2022,36639,Very Good,Petrol,Automatic
23281,Honda,Jazz,2017,122320,Fair,Petrol,Automatic
77930,Mazda,Mazda3,2021,83900,Good,Petrol,Automatic
58999,Mazda,Mazda6,2018,87479,Fair,Petrol,Automatic
242657,Lexus,IS,2024,18132,Excellent,Petrol,Automatic
60277,Mazda,CX-5,2020,138485,Fair,Petrol,Automatic
23085,Nissan,Serena,2015,167780,Poor,Petrol,Automatic
46599,Honda,Civic,2018,111125,Good,Petrol,Automatic
70313,Honda,Civic,2020,67180,Very Good,Petrol,CVT
18521,Toyota,Corolla,2015,269310,Poor,Petrol,Automatic
63978,Nissan,Serena,2020,124035,Good,Petrol,Automatic
110879,Mazda,Mazda3,2023,41312,Very Good,Petrol,Automatic
89007,Mazda,Mazda2,2024,13649,Excellent,Petrol,Automatic
168215,Mazda,Mazda6,2024,24365,Excellent,Petrol,Automatic
176522,Lexus,ES,2021,62036,Very Good,Hybrid,Automatic
26588,Mazda,Mazda2,2017,103104,Fair,Petrol,Automatic
133713,Lexus,IS,2021,87560,Good,Petrol,Automatic
40388,Toyota,Fortuner,2016,218313,Fair,Diesel,Manual
71887,Lexus,IS,2018,150703,Fair,Petrol,Automatic
126627,Toyota,Camry,2022,69909,Good,Petrol,Automatic
27853,Nissan,Almera,2019,147786,Fair,Petrol,CVT
258390,Lexus,NX,2023,54554,Good,Hybrid,Automatic
18416,Nissan,Navara,2015,120760,Poor,Diesel,Manual
81856,Toyota,Hilux,2022,79161,Very Good,Diesel,Automatic
287637,Lexus,ES,2024,15741,Excellent,Hybrid,Automatic
117352,Mazda,Mazda6,2022,83196,Good,Petrol,Automatic
15231,Honda,BR-V,2015,146990,Poor,Petrol,Automatic
39282,Nissan,X-Trail,2017,142864,Fair,Petrol,Automatic
125525,Mazda,Mazda6,2022,58743,Very Good,Petrol,Automatic
40152,Nissan,Navara,2019,110568,Fair,Diesel,Manual
60344,Honda,Civic,2021,106248,Fair,Petrol,CVT
30004,Honda,CR-V,2016,146745,Poor,Petrol,Automatic
134739,Lexus,IS,2021,108704,Good,Petrol,Automatic
73337,Toyota,Camry,2019,114042,Fair,Hybrid,Automatic
249178,Lexus,RX,2022,70458,Good,Hybrid,Automatic
107033,Toyota,Fortuner,2021,84028,Good,Petrol,Manual
29367,Mazda,Mazda2,2018,150920,Fair,Petrol,Automatic
121749,Mazda,Mazda6,2022,78174,Very Good,Petrol,Automatic
89906,Toyota,Fortuner,2020,70770,Good,Petrol,Manual
152842,Mazda,Mazda6,2023,28424,Excellent,Petrol,Automatic
39465,Honda,BR-V,2020,106995,Fair,Petrol,Automatic
47046,Lexus,IS,2016,163044,Poor,Petrol,Automatic
66206,Toyota,Vios,2023,55226,Good,Petrol,CVT
109806,Mazda,Mazda6,2021,52352,Very Good,Petrol,Automatic
72562,Nissan,Navara,2022,39672,Good,Diesel,Manual
129009,Toyota,Camry,2022,78570,Very Good,Hybrid,Automatic
339673,Lexus,NX,2024,27527,Excellent,Hybrid,Automatic
106250,Honda,CR-V,2022,82113,Very Good,Petrol,Automatic
41186,Mazda,Mazda2,2019,108552,Good,Petrol,Automatic
43421,Honda,Civic,2019,163584,Fair,Petrol,Automatic
81696,Honda,BR-V,2023,29872,Excellent,Petrol,Automatic
62940,Nissan,X-Trail,2019,78948,Good,Petrol,Automatic
276929,Lexus,ES,2024,18179,Excellent,Petrol,Automatic
33065,Nissan,Navara,2018,157619,Fair,Diesel,Automatic
68021,Toyota,Corolla,2021,85272,Good,Petrol,Automatic
49485,Mazda,Mazda2,2020,76180,Very Good,Petrol,Automatic
27862,Mazda,Mazda2,2018,180852,Fair,Petrol,Automatic
151926,Honda,Accord,2023,38222,Excellent,Petrol,Automatic
272347,Lexus,ES,2024,25648,Excellent,Petrol,Automatic
23626,Toyota,Corolla,2016,217917,Poor,Petrol,Automatic
118667,Mazda,Mazda6,2022,68322,Good,Petrol,Automatic
39469,Honda,HR-V,2019,127470,Fair,Petrol,Automatic
51048,Toyota,Corolla,2019,164850,Good,Petrol,CVT
141097,Lexus,RX,2018,172907,Good,Hybrid,Automatic
28360,Nissan,Almera,2018,154854,Good,Petrol,CVT
118956,Toyota,Hilux,2024,19847,Excellent,Petrol,Manual
103615,Lexus,IS,2020,118765,Fair,Hybrid,Automatic
37882,Toyota,Yaris,2019,105528,Good,Petrol,Automatic
57171,Mazda,Mazda6,2019,159282,Fair,Petrol,Automatic
61963,Toyota,Corolla,2020,115835,Good,Petrol,CVT
27443,Toyota,Hilux,2016,109935,Fair,Diesel,Manual
83841,Lexus,ES,2017,191424,Good,Hybrid,Automatic
73351,Mazda,Mazda2,2023,44290,Good,Petrol,Automatic
70758,Lexus,IS,2017,174552,Good,Hybrid,Automatic
42594,Honda,HR-V,2018,103929,Good,Petrol,Automatic
128539,Nissan,Serena,2024,24960,Excellent,Petrol,Automatic
196569,Toyota,Camry,2024,24297,Excellent,Hybrid,Automatic
81723,Mazda,CX-5,2021,103932,Good,Petrol,Automatic
241183,Lexus,ES,2023,39678,Excellent,Petrol,Automatic
99387,Nissan,Navara,2024,19264,Excellent,Petrol,Automatic
148171,Mazda,CX-5,2024,23440,Excellent,Petrol,Automatic
108121,Mazda,CX-5,2022,80232,Very Good,Petrol,Automatic
253140,Lexus,RX,2022,81717,Very Good,Hybrid,Automatic
113328,Toyota,Hilux,2024,15029,Excellent,Petrol,Manual
131786,Honda,Accord,2023,47548,Good,Petrol,Automatic
20570,Nissan,Navara,2016,136674,Poor,Diesel,Automatic
67737,Honda,BR-V,2023,45598,Good,Petrol,Automatic
65446,Mazda,Mazda3,2020,136565,Good,Petrol,Automatic
38151,Nissan,Navara,2018,140280,Good,Diesel,Automatic
37429,Toyota,Yaris,2019,80100,Good,Petrol,Automatic
78713,Nissan,X-Trail,2021,102932,Good,Petrol,Automatic
32432,Toyota,Yaris,2018,112455,Good,Petrol,Automatic
139278,Lexus,IS,2021,73020,Good,Petrol,Automatic
76360,Mazda,CX-5,2021,101796,Fair,Petrol,Automatic
71296,Nissan,X-Trail,2021,108164,Fair,Petrol,Automatic
68178,Toyota,Hilux,2021,79956,Good,Diesel,Manual
163855,Toyota,Camry,2023,30868,Excellent,Petrol,Automatic
151243,Toyota,Fortuner,2023,32688,Excellent,Diesel,Automatic
32901,Toyota,Fortuner,2014,189508,Fair,Petrol,Automatic
40889,Honda,City,2021,101536,Fair,Petrol,CVT
57991,Toyota,Fortuner,2017,155240,Good,Diesel,Manual
79457,Honda,Civic,2022,57372,Good,Petrol,Automatic
55331,Nissan,Almera,2022,73914,Very Good,Petrol,CVT
112403,Lexus,NX,2018,175091,Good,Hybrid,Automatic
190594,Toyota,Camry,2024,26982,Excellent,Petrol,Automatic
60934,Mazda,Mazda6,2018,174384,Good,Petrol,Automatic
96095,Honda,HR-V,2023,32394,Excellent,Petrol,Automatic
141255,Lexus,ES,2020,100895,Good,Hybrid,Automatic
177137,Mazda,Mazda6,2024,23467,Excellent,Petrol,Automatic
46114,Toyota,Vios,2020,80200,Very Good,Petrol,CVT
63706,Honda,Accord,2019,102480,Fair,Petrol,Automatic
82935,Mazda,Mazda3,2021,59468,Very Good,Petrol,Automatic
22914,Toyota,Yaris,2017,130320,Fair,Petrol,Automatic
56936,Toyota,Fortuner,2017,199584,Good,Diesel,Manual
46594,Toyota,Corolla,2018,144109,Good,Petrol,CVT
26988,Mazda,Mazda2,2018,158221,Fair,Petrol,Automatic
36037,Honda,City,2020,126700,Fair,Petrol,CVT
108093,Mazda,Mazda6,2021,81080,Very Good,Petrol,Automatic
51328,Honda,City,2021,96352,Very Good,Petrol,CVT
42838,Nissan,X-Trail,2017,176216,Good,Petrol,Automatic
210431,Lexus,IS,2023,37566,Excellent,Petrol,Automatic
64405,Mazda,Mazda2,2022,76356,Very Good,Petrol,Automatic
151063,Honda,Accord,2023,34224,Excellent,Hybrid,Automatic
30078,Mazda,CX-5,2015,208060,Fair,Petrol,Automatic
50742,Toyota,Corolla,2019,138318,Good,Petrol,CVT
48671,Toyota,Corolla,2020,132860,Fair,Petrol,Automatic
26173,Nissan,X-Trail,2016,205839,Poor,Petrol,Automatic
29543,Toyota,Camry,2014,276265,Fair,Petrol,Automatic
37975,Toyota,Fortuner,2016,128475,Poor,Petrol,Manual
44599,Honda,City,2020,63160,Very Good,Petrol,CVT
80820,Toyota,Camry,2020,130395,Fair,Hybrid,Automatic
275921,Lexus,ES,2024,17648,Excellent,Hybrid,Automatic
95646,Toyota,Corolla,2023,42832,Good,Petrol,Automatic
125755,Mazda,Mazda6,2022,62985,Very Good,Petrol,Automatic
172692,Toyota,Fortuner,2024,20706,Excellent,Diesel,Automatic
92223,Mazda,Mazda3,2022,83715,Good,Petrol,Automatic
27602,Honda,CR-V,2015,149340,Poor,Petrol,Automatic
127827,Lexus,IS,2020,82540,Very Good,Petrol,Automatic
51584,Mazda,CX-5,2018,87451,Fair,Petrol,Automatic
18490,Nissan,Navara,2014,153659,Fair,Petrol,Automatic
132060,Toyota,Fortuner,2022,52362,Very Good,Diesel,Manual
156895,Honda,CR-V,2024,13925,Excellent,Petrol,Automatic
26159,Mazda,Mazda3,2016,170856,Poor,Petrol,Automatic
25839,Nissan,Almera,2017,119768,Good,Petrol,Automatic
57147,Honda,Jazz,2022,59217,Good,Petrol,Automatic
167879,Honda,Accord,2024,21024,Excellent,Petrol,Automatic
33919,Mazda,Mazda2,2019,75576,Fair,Petrol,Automatic
133436,Mazda,CX-5,2023,28108,Excellent,Petrol,Automatic
211388,Lexus,RX,2021,102940,Good,Petrol,Automatic
44775,Honda,BR-V,2020,75880,Good,Petrol,Automatic
124349,Lexus,RX,2017,152288,Good,Petrol,Automatic
32121,Toyota,Hilux,2017,108496,Fair,Petrol,Manual
108891,Nissan,Navara,2024,22348,Excellent,Diesel,Manual
326270,Lexus,NX,2024,16983,Excellent,Petrol,Automatic
26985,Honda,City,2018,127771,Fair,Petrol,Automatic
99216,Nissan,X-Trail,2022,64407,Very Good,Petrol,Automatic
51598,Mazda,Mazda3,2018,170170,Good,Petrol,Automatic
96258,Toyota,Camry,2020,113215,Good,Petrol,Automatic
93791,Honda,HR-V,2023,33904,Excellent,Petrol,Automatic
283986,Lexus,ES,2024,18248,Excellent,Petrol,Automatic
47948,Nissan,Navara,2019,102360,Good,Petrol,Automatic
86967,Mazda,CX-5,2021,50608,Good,Petrol,Automatic
137902,Mazda,Mazda6,2023,41640,Good,Petrol,Automatic
43441,Nissan,Navara,2019,143634,Good,Petrol,Manual
102811,Nissan,Navara,2024,23601,Excellent,Diesel,Automatic
139956,Lexus,NX,2020,118590,Fair,Hybrid,Automatic
65540,Nissan,X-Trail,2021,103296,Fair,Petrol,Automatic
26818,Toyota,Vios,2017,186032,Good,Petrol,Automatic
83303,Honda,City,2024,21627,Excellent,Petrol,Automatic
71886,Honda,BR-V,2023,51330,Very Good,Petrol,Automatic
176300,Toyota,Fortuner,2024,23765,Excellent,Diesel,Manual
112991,Lexus,NX,2018,178283,Good,Petrol,Automatic
77574,Nissan,Navara,2023,53884,Good,Diesel,Manual
111305,Toyota,Hilux,2024,18297,Excellent,Diesel,Automatic
46130,Toyota,Vios,2020,86655,Good,Petrol,Automatic
145183,Toyota,Fortuner,2023,55270,Good,Diesel,Automatic
51625,Honda,CR-V,2018,85078,Fair,Petrol,Automatic
12158,Mazda,Mazda2,2014,221573,Poor,Petrol,Automatic
130378,Lexus,NX,2020,125970,Fair,Hybrid,Automatic
65280,Mazda,Mazda2,2022,83109,Very Good,Petrol,Automatic
59596,Nissan,Almera,2023,45266,Good,Petrol,CVT
376419,Lexus,RX,2024,13150,Excellent,Petrol,Automatic
106114,Mazda,Mazda3,2023,46410,Good,Petrol,Automatic
17490,Honda,Civic,2014,196020,Poor,Petrol,Automatic
68669,Toyota,Camry,2018,144781,Good,Hybrid,Automatic
190521,Lexus,IS,2023,45900,Very Good,Petrol,Automatic
206607,Lexus,ES,2022,63696,Very Good,Petrol,Automatic
104389,Honda,HR-V,2024,25727,Excellent,Petrol,Automatic
165445,Honda,Accord,2024,27927,Excellent,Hybrid,Automatic
84502,Nissan,Navara,2023,46052,Very Good,Diesel,Automatic
109467,Nissan,X-Trail,2023,55908,Very Good,Petrol,Automatic
58062,Toyota,Yaris,2022,79377,Very Good,Petrol,Automatic
63563,Nissan,X-Trail,2019,118356,Good,Petrol,Automatic
84548,Honda,HR-V,2023,40372,Good,Petrol,Automatic
54540,Honda,Jazz,2022,62106,Very Good,Petrol,Automatic
38286,Toyota,Hilux,2018,101465,Fair,Petrol,Automatic
88005,Honda,Civic,2022,73704,Very Good,Petrol,Automatic
30363,Mazda,Mazda6,2015,128240,Poor,Petrol,Automatic
70808,Toyota,Vios,2023,52566,Good,Petrol,CVT
76991,Mazda,Mazda2,2023,26206,Excellent,Petrol,Automatic
91489,Nissan,Serena,2022,49917,Very Good,Petrol,Automatic
29162,Toyota,Corolla,2016,196128,Fair,Petrol,Automatic
144806,Mazda,Mazda6,2023,50618,Very Good,Petrol,Automatic
303383,Lexus,NX,2023,30014,Excellent,Petrol,Automatic
166738,Mazda,Mazda6,2024,14917,Excellent,Petrol,Automatic
98343,Mazda,Mazda6,2021,52696,Good,Petrol,Automatic
64816,Nissan,Almera,2023,35806,Excellent,Petrol,Automatic
101555,Honda,CR-V,2022,60987,Good,Petrol,Automatic
79326,Nissan,Navara,2022,38514,Very Good,Diesel,Automatic
71771,Mazda,Mazda3,2020,74625,Very Good,Petrol,Automatic
91563,Toyota,Vios,2024,16080,Excellent,Petrol,CVT
63554,Honda,Jazz,2023,46114,Good,Petrol,Automatic
45326,Mazda,Mazda3,2017,171384,Good,Petrol,Automatic
105822,Honda,CR-V,2022,37758,Very Good,Petrol,Automatic
82031,Mazda,Mazda3,2021,67696,Good,Petrol,Automatic
19333,Nissan,Navara,2015,252930,Fair,Diesel,Manual
370726,Lexus,RX,2024,17590,Excellent,Hybrid,Automatic
26696,Honda,Jazz,2018,96824,Fair,Petrol,CVT
42569,Honda,HR-V,2018,100177,Good,Petrol,Automatic
89123,Mazda,Mazda2,2024,20226,Excellent,Petrol,Automatic
47476,Honda,BR-V,2020,85540,Good,Petrol,Automatic
88774,Mazda,Mazda2,2024,20078,Excellent,Petrol,Automatic
126714,Toyota,Camry,2022,49404,Good,Petrol,Automatic
47166,Mazda,CX-5,2018,139244,Fair,Petrol,Automatic
120519,Mazda,Mazda3,2023,25682,Excellent,Petrol,Automatic
78253,Lexus,IS,2018,91077,Fair,Hybrid,Automatic
50998,Nissan,X-Trail,2019,159726,Fair,Petrol,Automatic
264465,Lexus,RX,2022,82716,Very Good,Hybrid,Automatic
20202,Toyota,Vios,2016,212445,Fair,Petrol,Automatic
26888,Mazda,CX-5,2015,178180,Poor,Petrol,Automatic
120958,Mazda,Mazda3,2023,26418,Excellent,Petrol,Automatic
119813,Honda,Accord,2022,67578,Good,Hybrid,Automatic
44872,Toyota,Vios,2020,101070,Good,Petrol,Automatic
44190,Nissan,Almera,2021,84616,Good,Petrol,CVT
31667,Honda,CR-V,2015,149710,Fair,Petrol,Automatic
258296,Lexus,NX,2023,45510,Good,Petrol,Automatic
27003,Nissan,Navara,2017,169208,Fair,Diesel,Automatic
110794,Toyota,Camry,2021,99012,Good,Hybrid,Automatic
30225,Mazda,Mazda2,2017,142320,Good,Petrol,Automatic
123793,Honda,Civic,2024,23494,Excellent,Petrol,Automatic
26057,Mazda,Mazda2,2017,97656,Fair,Petrol,Automatic
232800,Lexus,NX,2022,77880,Very Good,Hybrid,Automatic
38668,Toyota,Yaris,2020,128340,Good,Petrol,Automatic
129875,Toyota,Corolla,2024,16534,Excellent,Petrol,Automatic
23841,Nissan,Navara,2016,205425,Fair,Diesel,Manual
96239,Mazda,Mazda3,2022,39387,Good,Petrol,Automatic
58736,Toyota,Yaris,2022,36915,Good,Petrol,Automatic
87045,Nissan,Navara,2023,37394,Excellent,Petrol,Manual
88619,Nissan,Serena,2022,40191,Good,Petrol,Automatic
23331,Nissan,X-Trail,2015,173740,Poor,Petrol,Automatic
184175,Lexus,RX,2021,110940,Fair,Petrol,Automatic
299150,Lexus,NX,2023,37084,Excellent,Petrol,Automatic
56002,Honda,Jazz,2022,73104,Good,Petrol,Automatic
175331,Mazda,Mazda6,2024,18549,Excellent,Petrol,Automatic
80535,Mazda,Mazda2,2023,35050,Excellent,Petrol,Automatic
73677,Mazda,CX-5,2020,84490,Good,Petrol,Automatic
366035,Lexus,RX,2024,27633,Excellent,Petrol,Automatic
83779,Mazda,Mazda6,2020,88915,Good,Petrol,Automatic
75221,Nissan,Almera,2024,14697,Excellent,Petrol,CVT
129720,Lexus,IS,2020,89665,Very Good,Hybrid,Automatic
192831,Toyota,Camry,2024,15276,Excellent,Petrol,Automatic
72454,Nissan,X-Trail,2020,109010,Good,Petrol,Automatic
180282,Toyota,Camry,2024,27459,Excellent,Petrol,Automatic
75761,Toyota,Camry,2020,116210,Fair,Hybrid,Automatic
162263,Mazda,Mazda6,2024,20874,Excellent,Petrol,Automatic
71705,Mazda,Mazda3,2020,98780,Very Good,Petrol,Automatic
104373,Toyota,Corolla,2023,37236,Excellent,Petrol,Automatic
156985,Lexus,IS,2022,44640,Good,Hybrid,Automatic
69742,Toyota,Yaris,2023,27044,Excellent,Petrol,Automatic
86149,Honda,City,2024,17490,Excellent,Petrol,Automatic
56121,Nissan,Almera,2023,55172,Good,Petrol,Automatic
27238,Honda,BR-V,2017,217528,Good,Petrol,Automatic
92033,Nissan,Serena,2022,60765,Very Good,Petrol,Automatic
91501,Mazda,CX-5,2021,58064,Good,Petrol,Automatic
77765,Toyota,Fortuner,2019,116898,Good,Diesel,Manual
72552,Nissan,Navara,2022,68532,Good,Petrol,Automatic
51431,Mazda,CX-5,2017,132488,Good,Petrol,Automatic
84737,Toyota,Hilux,2022,55449,Very Good,Diesel,Manual
65673,Toyota,Camry,2018,87185,Fair,Petrol,Automatic
289356,Lexus,NX,2023,26348,Excellent,Hybrid,Automatic
48989,Nissan,X-Trail,2018,93933,Fair,Petrol,Automatic
41447,Honda,HR-V,2019,119352,Fair,Petrol,Automatic
111771,Toyota,Camry,2021,77952,Very Good,Hybrid,Automatic
54840,Toyota,Vios,2021,79472,Good,Petrol,CVT
18932,Honda,BR-V,2016,244629,Fair,Petrol,Automatic
53063,Honda,Jazz,2022,80010,Good,Petrol,Automatic
78156,Honda,Jazz,2024,26400,Excellent,Petrol,CVT
82259,Mazda,Mazda2,2023,24596,Excellent,Petrol,Automatic
